代碼	名稱	數量	權重
3034	聯詠	15059	3.29
2454	聯發科	7310	3.15
2317	鴻海	55001	3.06
4938	和碩	79108	2.88
2385	群光	35841	2.79
2303	聯電	144246	2.77
2379	瑞昱	13409	2.76
3711	日月光投控	47300	2.7
3702	大聯大	79180	2.57
2885	元大金	226154	2.49
2324	仁寶	187819	2.48
2891	中信金	216172	2.48
2382	廣達	24088	2.45
2353	宏碁	143727	2.44
2356	英業達	116724	2.43
2474	可成	32084	2.42
2357	華碩	15274	2.4
6239	力成	35799	2.39
1102	亞泥	155125	2.38
2105	正新	127096	2.25
2449	京元電子	57661	2.2
2347	聯強	78655	2.18
2890	永豐金	277292	2.17
2409	友達	307125	2.07
3036	文曄	38463	2.07
1402	遠東新	172155	2.03
3231	緯創	44966	2.03
2301	光寶科	53562	2
2377	微星	32189	2
2886	兆豐金	131249	1.92
4958	臻鼎-KY	44660	1.92
1605	華新	131880	1.85
3044	健鼎	24787	1.83
2376	技嘉	15791	1.82
1477	聚陽	11405	1.59
2027	大成鋼	110175	1.47
6176	瑞儀	21930	1.38
3005	神基	28459	1.23
6285	啟碁	21093	1.19
1301	台塑	44967	1.17
2383	台光電	7916	1.16
1303	南亞	54413	1.14
2542	興富發	75772	1.13
8046	南電	15003	1.1
2809	京城銀	52403	1.06
2915	潤泰全	41687	0.91
2006	東和鋼鐵	34435	0.9
9917	中保科	19184	0.87
5522	遠雄	33817	0.73
3665	貿聯-KY	7609	0.7
